Epoch 215/1000 | Loss: 0.0189 | Precision: 0.8219 | Recall: 0.6470 | F1: 0.7023
Epoch 216/1000 | Loss: 0.0188 | Precision: 0.8184 | Recall: 0.6454 | F1: 0.7000
Epoch 217/1000 | Loss: 0.0189 | Precision: 0.8235 | Recall: 0.6452 | F1: 0.7016
Epoch 218/1000 | Loss: 0.0188 | Precision: 0.8254 | Recall: 0.6499 | F1: 0.7061
Epoch 219/1000 | Loss: 0.0189 | Precision: 0.8224 | Recall: 0.6472 | F1: 0.7026
Epoch 220/1000 | Loss: 0.0188 | Precision: 0.8213 | Recall: 0.6475 | F1: 0.7026
Epoch 221/1000 | Loss: 0.0188 | Precision: 0.8235 | Recall: 0.6474 | F1: 0.7032
Epoch 222/1000 | Loss: 0.0189 | Precision: 0.8214 | Recall: 0.6484 | F1: 0.7036
Epoch 223/1000 | Loss: 0.0189 | Precision: 0.8212 | Recall: 0.6470 | F1: 0.7021
Epoch 224/1000 | Loss: 0.0188 | Precision: 0.8223 | Recall: 0.6505 | F1: 0.7051
Epoch 225/1000 | Loss: 0.0188 | Precision: 0.8278 | Recall: 0.6516 | F1: 0.7074
Epoch 226/1000 | Loss: 0.0188 | Precision: 0.8236 | Recall: 0.6488 | F1: 0.7040
Epoch 227/1000 | Loss: 0.0189 | Precision: 0.8252 | Recall: 0.6506 | F1: 0.7056
Epoch 228/1000 | Loss: 0.0188 | Precision: 0.8274 | Recall: 0.6532 | F1: 0.7086
Epoch 229/1000 | Loss: 0.0187 | Precision: 0.8295 | Recall: 0.6528 | F1: 0.7088
Epoch 230/1000 | Loss: 0.0187 | Precision: 0.8261 | Recall: 0.6528 | F1: 0.7077
Epoch 231/1000 | Loss: 0.0187 | Precision: 0.8269 | Recall: 0.6528 | F1: 0.7087
Epoch 232/1000 | Loss: 0.0187 | Precision: 0.8266 | Recall: 0.6519 | F1: 0.7076
Epoch 233/1000 | Loss: 0.0188 | Precision: 0.8263 | Recall: 0.6518 | F1: 0.7068
Epoch 234/1000 | Loss: 0.0187 | Precision: 0.8283 | Recall: 0.6535 | F1: 0.7091
Epoch 235/1000 | Loss: 0.0187 | Precision: 0.8260 | Recall: 0.6537 | F1: 0.7082
Epoch 236/1000 | Loss: 0.0188 | Precision: 0.8265 | Recall: 0.6508 | F1: 0.7059
Epoch 237/1000 | Loss: 0.0187 | Precision: 0.8262 | Recall: 0.6528 | F1: 0.7079
Epoch 238/1000 | Loss: 0.0186 | Precision: 0.8296 | Recall: 0.6563 | F1: 0.7116
Epoch 239/1000 | Loss: 0.0188 | Precision: 0.8247 | Recall: 0.6512 | F1: 0.7062
Epoch 240/1000 | Loss: 0.0187 | Precision: 0.8289 | Recall: 0.6552 | F1: 0.7109
